objectid,parentid,filename,title,creator,date,description,subject,community,location,latitude,longitude,source,identifier,type,format,rights,rightsstatement
aol001,,,The Open Door. 1987.,,,The Open Door was a Bloomington-based publication that covered gay and lesbian community news and commentary in the area. ,,,,,,,,record,compound_object,,
aol002,aol001,aol001.pdf,The Open Door Vol.1 No. 1,Kevin Richey (editor); Marc Eisdorfer (associate editor); B. A. Cain (Business Manager); Sara Studer (Art Director); Cheryl E. Compton (Photographer/Writer); Jeff Dean (Contributor); Anne Haines (Contributor); J.C. (Contributor); Karen Lane (Contributor); Duncan Mitchel (Contributor); Anne Haines (Contributor); Jeff Dean (Contributor); Sean Hammond (Contributor),1987-02-04,"The very first issue of the Open Door newspaper from February, 1987.",Parenting; Gay/Lesbian Switchboard; Coming Out; LGBTQ+ Press,Gay; Lesbian; Feminist,,,,"University Archives, Indiana University Bloomington",,application,application/pdf,,
aol003,aol001,aol002.pdf,"The Open Door, Vol. 1 No. 2",Kevin Richey (editor); Marc Eisdorfer (associate editor); B. A. Cain (Business Manager); Sara Studer (Art Director); Cheryl E. Compton (Photographer/Writer); Jeff Dean (Contributor); Anne Haines (Contributor); Sean Hammond (Contributor); Barry Lieber (Contributor); Duncan Mitchel (Contributor); Fran Record (Contributor); Bob Salach (Contributor); Wayne Shepherd (Contributor),1987-04-01,"The second issue of the Open Door newspaper from March-April, 1987.",Activism; AIDS; LGBTQ+ Press,Gay; Lesbian; Feminist,,,,"University Archives, Indiana University Bloomington",,application,application/pdf,,
aol004,aol001,aol003.pdf,Open Door Grand Opening Letter from the Editor,Kevin Richey,1987-02-04,"The Open Door's editor, Kevin Richey, pens an announcement letter for the first issue of the publication.",LGBTQ+ Press,Gay; Lesbian,,,,"University Archives, Indiana University Bloomington",,application,application/pdf,,
aol005,,aol005.pdf,Students join in march,Chad Hesting,1987,About 70 Hoosiers make journey to Washington for gay-rights demonstration. Indiana Daily Student,Collective action; Equal Rights; Student,Gay; Lesbian,"Washington, DC",,,"University Archives, ",,application,application/pdf,,
aol006,,aol006,Rape Awareness Week,Kevin Stuart,,"OUT members hand out information about rape. Indiana Daily Student, issue not known. ",Sexual violence; Student,,,,,,,S,,,
aol007,,aol007.jpg,GLB panel discusses domestic violence,Angela Cutsinger,,,LGBTQ+ domestic violence; Student,Gay; Lesbian; Bisexual; Gay Lesbian & Bisexual (GLB),,,,,,Still Image,image/jpg,,
aol008,,aol008.pdf,Ad-hoc committee letter to IU VP on establishing a Gay & Lesbian resource center at IU,Ad-hoc Committee,1976-03-04,,LGBTQ+ Culture Center; Student,Gay; Lesbian,,,,,,,,,
aol009,,aol009.jpg,IU Students travel to AIDS Memorial Quilt. 1987.,Joan Li; Meredith Bledsoe,1987,,Student; AIDS,,,,,,,,,,
aol010,,aol010.jpg,Local reporting on the LGBTQ+ Culture Center opening. 1995.,,,,,,,,,,,,,,
aol011,,,Local reporting on AIDS,,,,,,,,,,,,,,
aol012,,,New Horizons Gay Community Servies. 1975-76.,Collin C. Schwoyer (Founder),,"New Horizons Gay Community Services was one of the first spaces specifically for gay and lesbian people in Bloomington. Founded in 1975 by then-graduate student Collin Schwoyer, the space on 809 S. Rogers Street held weekly activities at least through 1976, and possibly beyond then. ",,,New Horizons Gay Community Services,,,,,compound_object,,,
aol013,aol012,,News Horizons vol. 1 no. 1,,1975-08-18,The first publication of the News Horizons newsletter.,,,New Horizons Gay Community Services,,,,,,,,
aol014,aol012,,"Grand Opening Week flyer, 1975",,1975,A flyer for the Grand Opening Week of New Horizons Gay Community Services.,,,New Horizons Gay Community Services,,,,,,,,
aol015,aol012,,News Horizons vol. 1 no. 3,,1975-10-15,The News Horizons volume 1 issue 3 newsletter.,,,New Horizons Gay Community Services,,,,,,,,
aol016,aol012,,News Horizons vol. 2 no. 3,,1976-03-12,The News Horizons volume 2 issue 3 newsletter.,,,New Horizons Gay Community Services,,,,,,,,
aol017,aol012,,New Horizons flyer,,1975,,,,,,,,,,,,
aol018,,aol018.jpg,Patrons expelled from bar for same-sex dancing,Karin Hoyer,1977-02-11,,,,,,,,,,,,
aol019,,aol019.pdf,Gay Liberation Front Valentines Day Dance. 1975.,Rick Shulte,1975-02-21,"The Gay Liberation Front (GLF) organized a Valentines Day ""Coming-out"" party at the Holiday Inn West in Bloomington. ",Recreation,Gay Liberation Front; ,,,,,,,,,
aol023,,aol023.pdf,Lesbopalooza. 1997.,,1997-10-14,Several Lesbopalooza events were organized at IU-Bloomington in the 1990s. The 1997 edition was held at Collins Center and saw 400-500 showgoers.,Recreation; Student,Lesbian; Feminist,,,,,,,,,
aol024,,aol024.pdf,Groups gather in opposition to anti-gay demonstrations.,,2002-06-10,,Collective Action; Student,,,,,,,,,,
aol025,,aol025.pdf,Indiana Cares honors Bloomington Couple. 1996.,Gary Pool,1996-01-01,"A Bloomington couple, Doris and Bob Fox, were honored by AIDS advocacy group Indiana Cares. Their son, Tom, died of AIDS-related complications in 1989, and the couple would go on to lead the development of AIDS groups and champion acceptance and action among parents of homosexual children.",AIDS; Parenting,Gay,,,,,,,,,
aol026,,aol026.pdf,Lobbying against partner policy for unmarried couples,,,,Parenting; Equal Rights; Protest,,,,,,,,,,
aol027,,,Bloomington Gay Alliance newsletters. 1979-1981.,,,"The Bloomington Gay Alliance, later named the Bloomington Gay and Lesbian Alliance, was an umbrella organization facilitated many smaller groups and collective action initiatives in the 1970s and 80s. ",,,,,,,,compound_object,,,
aol028,aol027,aol028.pdf,Lesbian & Gay News. 1981.,,,,,,,,,,,,,,
aol029,aol027,aol029.pdf,Gay News. 1979-1980.,,,,,,,,,,,,,,
aol030,,aol030.jpg,GLB Office viewing party for Ellen DeGeneres' coming out,,1997-04-30,The GLB Office at IU held an event for Ellen DeGeneres' coming-out on her ABC Sitcom Ellen. The event was held at Bloomington Bagel Company.,Coming Out; Recreation,Gay; Lesbian; Bisexual; Gay Lesbian & Bisexual (GLB),Bloomington Bagel Company,,,,,,,,
aol031,,aol031.jpg,I DEMAND RECOGNITION sticker,ZERO TOLERANCE: Queers United for the Center,,"This ""I DEMAND RECOGNITION"" sticker is part of the wide array of student initiatives aimed at securing a resource center for LGBTQ+ students on the IU Bloomington campus. The center would officially open in 1994.",LGBTQ+ Culture Center; Student; Collective Action,,LGBTQ+ Culture Center,,,,,,,,
aol032,,aol032.pdf,Hollandia '45 staging at Aquarious Books. 1991.,,,,,Feminist; Lesbian,Aquarious Books,,,,,compound_object,,,
aol033,aol032,,Hollandia '45 playbill ,,,,,Feminist; Lesbian,,,,,,,,,
aol034,aol032,,Aquarious Books Volunteer's letter to playwright Sarah Dreher,,,,,Feminist; Lesbian,,,,,,,,,
aol035,aol032,,Sarah Dreher's response letter,,,,,Feminist; Lesbian,,,,,,,,,
aol036,,aol036.pdf,Integrity/Bloomington Gabriel Newsletters,,,,Religion,,,,,,,,,,
aol037,,aol037.jpg,Gay Coffeehouse,,,,Recreation,,,,,,,,,,
aol038,,,Community discouse in the Herald-Times following anti-gay demonstrations. 1975.,,,Sizeable religious anti-gay demonstrations in Bloomington led concerned locals to pay for an advertisement discussing biblical interpretation. Two responses in disagreement were submitted in the following issue. 1975.,Religion; Collective Action,,,,,,,,,,
